Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0035919, 0, 0, 1, 0, 0, 1, 1, 1
0.0035927, 0, 0, 1, 1, 0, 1, 1, 1
0.0036077, 0, 0, 1, 0, 0, 1, 1, 1
0.0036099, 0, 0, 1, 0, 0, 0, 1, 1
0.0036224, 0, 0, 0, 0, 0, 0, 1, 1
0.0036232, 0, 0, 0, 1, 0, 0, 1, 1
0.0036382, 0, 0, 0, 0, 0, 0, 1, 1
0.0036405, 0, 0, 0, 0, 0, 1, 1, 1
0.0036531, 0, 0, 1, 0, 0, 1, 1, 1
0.0036538, 0, 0, 1, 1, 0, 1, 1, 1
0.0036696, 0, 0, 1, 0, 0, 1, 1, 1
0.0036709, 0, 0, 1, 0, 0, 0, 1, 1
0.0036837, 0, 0, 0, 0, 0, 0, 1, 1
0.0036844, 0, 0, 0, 1, 0, 0, 1, 1
0.0036993, 0, 0, 0, 0, 0, 0, 1, 1
0.0037015, 0, 0, 0, 0, 0, 1, 1, 1
0.0037144, 0, 0, 1, 0, 0, 1, 1, 1
0.0037151, 0, 0, 1, 1, 0, 1, 1, 1
0.0037298, 0, 0, 1, 0, 0, 1, 1, 1
0.0037320, 0, 0, 1, 0, 0, 0, 1, 1
0.0037444, 0, 0, 0, 0, 0, 0, 1, 1
0.0037452, 0, 0, 0, 1, 0, 0, 1, 1
0.0037604, 0, 0, 0, 0, 0, 0, 1, 1
0.0037626, 0, 0, 0, 0, 0, 1, 1, 1
0.0037749, 0, 0, 1, 0, 0, 1, 1, 1
0.0037757, 0, 0, 1, 1, 0, 1, 1, 1
0.0037908, 0, 0, 1, 0, 0, 1, 1, 1
0.0037930, 0, 0, 1, 0, 0, 0, 1, 1
0.0038055, 0, 0, 0, 0, 0, 0, 1, 1
0.0038062, 0, 0, 0, 1, 0, 0, 1, 1
0.0038218, 0, 0, 0, 0, 0, 0, 1, 1
0.0038236, 0, 0, 0, 0, 0, 1, 1, 1
0.0038368, 0, 0, 1, 0, 0, 1, 1, 1
0.0038376, 0, 0, 1, 1, 0, 1, 1, 1
