Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0187787, 0, 0, 0, 1, 1, 0, 0, 0
0.0187838, 0, 0, 1, 1, 1, 0, 0, 0
0.0187863, 0, 0, 1, 1, 1, 0, 1, 0
0.0187864, 0, 0, 1, 1, 1, 1, 1, 0
0.0188016, 0, 0, 1, 1, 1, 1, 0, 0
0.0188144, 0, 0, 0, 1, 1, 1, 0, 0
0.0188168, 0, 0, 0, 1, 1, 0, 0, 0
0.0188169, 0, 0, 0, 1, 1, 0, 1, 0
0.0188321, 0, 0, 0, 1, 1, 0, 0, 0
0.0188451, 0, 0, 1, 1, 1, 0, 0, 0
0.0188473, 0, 0, 1, 1, 1, 0, 1, 0
0.0188474, 0, 0, 1, 1, 1, 1, 1, 0
0.0188626, 0, 0, 1, 1, 1, 1, 0, 0
0.0188703, 0, 0, 1, 1, 1, 1, 0, 1
0.0188758, 0, 0, 0, 1, 1, 1, 0, 1
0.0188779, 0, 0, 0, 1, 1, 0, 1, 1
0.0188931, 0, 0, 0, 1, 1, 0, 0, 1
0.0189065, 0, 0, 1, 1, 1, 0, 0, 1
0.0189084, 0, 0, 1, 1, 1, 1, 1, 1
0.0189236, 0, 0, 1, 1, 1, 1, 0, 1
0.0189313, 0, 0, 1, 1, 1, 1, 0, 0
0.0189372, 0, 0, 0, 1, 1, 1, 0, 0
0.0189389, 0, 0, 0, 1, 1, 0, 0, 0
0.0189390, 0, 0, 0, 1, 1, 0, 1, 0
0.0189542, 0, 0, 0, 1, 1, 0, 0, 0
0.0189618, 0, 0, 0, 1, 1, 0, 0, 1
0.0189669, 0, 0, 1, 1, 1, 0, 0, 1
0.0189694, 0, 0, 1, 1, 1, 0, 1, 1
0.0189695, 0, 0, 1, 1, 1, 1, 1, 1
0.0189847, 0, 0, 1, 1, 1, 1, 0, 1
0.0189976, 0, 0, 0, 1, 1, 1, 0, 1
0.0189999, 0, 0, 0, 1, 1, 0, 0, 1
0.0190000, 0, 0, 0, 1, 1, 0, 1, 1
0.0190152, 0, 0, 0, 1, 1, 0, 0, 1
0.0190228, 0, 0, 0, 1, 1, 0, 0, 0
0.0190278, 0, 0, 1, 1, 1, 0, 0, 0
0.0190305, 0, 0, 1, 1, 1, 1, 1, 0
0.0190457, 0, 0, 1, 1, 1, 1, 0, 0
0.0190583, 0, 0, 0, 1, 1, 1, 0, 0
0.0190610, 0, 0, 0, 1, 1, 0, 1, 0
0.0190762, 0, 0, 0, 1, 1, 0, 0, 0
0.0190888, 0, 0, 1, 1, 1, 0, 0, 0
0.0190915, 0, 0, 1, 1, 1, 0, 1, 0
0.0190916, 0, 0, 1, 1, 1, 1, 1, 0
0.0191068, 0, 0, 1, 1, 1, 1, 0, 0
0.0191144, 0, 0, 1, 1, 1, 1, 0, 1
0.0191193, 0, 0, 0, 1, 1, 1, 0, 1
0.0191220, 0, 0, 0, 1, 1, 0, 0, 1
0.0191221, 0, 0, 0, 1, 1, 0, 1, 1
0.0191373, 0, 0, 0, 1, 1, 0, 0, 1
0.0191498, 0, 0, 1, 1, 1, 0, 0, 1
0.0191525, 0, 0, 1, 1, 1, 0, 1, 1
0.0191526, 0, 0, 1, 1, 1, 1, 1, 1
0.0191678, 0, 0, 1, 1, 1, 1, 0, 1
0.0191804, 0, 0, 0, 1, 1, 1, 0, 1
0.0191831, 0, 0, 0, 1, 1, 0, 1, 1
0.0191983, 0, 0, 0, 1, 1, 0, 0, 1
0.0192109, 0, 0, 1, 1, 1, 0, 0, 1
0.0192136, 0, 0, 1, 1, 1, 1, 1, 1
0.0192288, 0, 0, 1, 1, 1, 1, 0, 1
0.0192414, 0, 0, 0, 1, 1, 1, 0, 1
0.0192441, 0, 0, 0, 1, 1, 0, 0, 1
0.0192442, 0, 0, 0, 1, 1, 0, 1, 1
0.0192594, 0, 0, 0, 1, 1, 0, 0, 1
0.0192670, 0, 0, 0, 1, 1, 0, 0, 0
0.0192721, 0, 0, 1, 1, 1, 0, 0, 0
